ID,"К-во филиалов, шт","Товарный ассортимент, шт","К-во групп покупаемых товаров, шт","К-во специализаций покупаемых товаров, шт","Кол-во типов покупаемых товаров, шт","Сумма покупок за все время, руб","Общее к-во покупок за все время, шт",К-во дней сотрудничества,К-во дней с последней покупки,Ранг популярности групп товаров,Ранг популярности спец товаров,Ранг популярности типов товаров,"Средняя стоимость товара, руб",Дней взаимодействия в месяц,DBScan,KMeans
3367,1,0.6931471805599453,1,1,1,10.71714471392214,4.499809670330265,1557,350,4.0,4.0,54.0,6.217335043591875,1.0,1,6
3368,1,3.091042453358316,1,3,10,12.670743267035784,7.873978379604501,634,1198,4.0,3.0,49.65476190476191,4.796764887431283,1.0,1,0
3369,1,2.772588722239781,1,1,6,11.199804688337618,7.9599745280805365,114,1773,4.0,2.0,50.52777777777778,3.239830160257082,1.0,1,2
3370,1,3.6888794541139363,3,6,16,13.305097848937258,7.256297239690681,1848,59,3.965853658536585,3.0,52.06829268292683,6.048800609246578,2.0,5,5
3371,1,1.0986122886681098,1,1,1,10.257325977355505,3.332204510175204,1,67,4.0,4.0,54.0,6.9251214671803005,1.0,1,3
3372,1,2.9444389791664403,2,2,7,12.882733673207975,7.434847875211999,1545,353,3.995884773662552,4.008230452674897,46.99176954732511,5.4478857979959745,1.0,2,6
3373,1,4.219507705176107,1,3,11,17.737182111882188,12.383708240333414,1864,28,4.0,3.7980931015143016,51.01402131239484,5.353473871548774,3.0,1,6
3374,1,3.091042453358316,2,3,9,13.772520579647871,8.429017500512511,833,1074,3.945945945945946,3.945945945945946,47.5945945945946,5.34350307913536,1.0,2,0
3375,1,2.772588722239781,2,4,13,14.12305050618601,7.8961806086154915,1412,38,3.972826086956522,3.972826086956522,40.55978260869565,6.226869897570518,1.0,2,6
3376,1,1.0986122886681098,1,1,3,9.167432870964907,3.4011973816621555,1,171,4.0,4.0,39.6,5.766235489302751,1.0,1,3
3377,1,2.833213344056216,1,1,9,11.170827755002724,5.575949103146316,344,703,4.0,4.0,45.204081632653065,5.594878651856408,1.0,1,3
3378,1,5.017279836814924,3,8,15,13.578195944780278,6.401917196727186,1873,11,2.952380952380953,3.274725274725274,56.3956043956044,7.176278748053093,1.0,0,5
3379,1,2.70805020110221,2,2,10,10.045441004841717,4.189654742026425,200,1632,3.9791666666666665,4.020833333333333,51.145833333333336,5.855786262815291,2.0,2,2
3380,1,3.1354942159291497,3,3,10,12.761315686929391,6.919683849847411,1493,391,3.944055944055944,4.013986013986014,51.2027972027972,5.841631837081981,1.0,5,5
3381,1,0.0,1,1,1,5.746905819038288,0.6931471805599453,1,1177,4.0,4.0,61.0,5.053758638478342,1.0,1,2
3382,1,0.0,1,1,1,8.88524714812623,2.4849066497880004,1,1648,4.0,4.0,54.0,6.400340498338228,1.0,1,2
3383,1,0.0,1,1,1,8.85366542803745,0.0,1,1281,3.0,4.0,34.0,8.85366542803745,1.0,4,4
3384,1,3.044522437723423,1,2,14,10.654626480172965,6.810142450115136,135,373,4.0,2.727272727272727,47.61363636363637,3.8444840300578287,1.0,1,3
3385,1,0.6931471805599453,1,1,1,6.2809574789637255,0.6931471805599453,1,259,3.0,6.0,62.0,5.58781029840378,1.0,3,1
3386,1,0.0,1,1,1,9.95227771670556,0.0,1,472,3.0,4.0,34.0,9.95227771670556,1.0,4,4
3387,1,1.0986122886681098,2,2,3,7.304421792733952,1.9459101490553132,678,479,3.75,4.5,57.75,5.358511643678638,1.0,2,3
3388,2,1.791759469228055,1,1,5,12.013674267683504,5.872117789475416,1259,394,4.0,4.0,46.083333333333336,6.141556478208087,1.0,0,7
