ID,component_1,component_2
384,39.51342,-4.0996237
385,-13.764915,-1.2518766
386,-25.796892,-14.341982
387,-19.655682,11.818586
388,28.09888,8.730016
389,-20.769936,-21.311735
390,13.83314,0.12648714
391,15.855516,-0.6534178
392,-22.03506,-14.501871
393,-8.520305,4.067517
394,-8.376374,-13.351634
395,-15.972728,8.336628
396,27.10926,-8.70536
397,23.04149,7.8926635
398,46.46061,-8.158316
399,-15.43587,7.8121004
400,32.884388,-3.3857691
401,0.86233896,-21.369434
402,-8.620316,-13.296539
403,22.13135,-4.3165746
404,21.089857,-31.934984
406,28.516973,5.2960997
407,-24.439363,-15.23804
408,26.545795,3.6352587
409,30.767006,9.616396
410,20.986166,-7.435679
411,-27.6325,-5.354548
412,-27.461937,-1.3693138
413,-36.502144,7.882105
414,-34.5514,2.635855
415,-33.80051,-19.342604
416,24.80975,-14.521758
417,21.99112,-13.000799
418,12.492036,-9.903569
419,21.60721,44.310024
420,10.867738,3.802225
421,-10.583614,-15.167114
422,8.773853,8.138186
423,23.303667,-12.4066925
424,44.286953,-4.4671564
425,2.7856312,-27.293585
426,37.548042,0.8494617
427,26.608969,39.376656
428,-1.0686941,-24.62183
429,32.403187,3.297334
430,-11.853972,-21.58428
431,10.058198,11.01821
432,7.0473657,27.814236
433,-16.749956,-10.861967
434,33.582527,7.166456
435,4.7602663,11.198655
436,19.855791,-9.179076
437,-22.350607,-25.902372
438,17.55972,4.341807
439,40.447147,-5.6292562
440,28.822186,37.450825
441,-25.420662,-13.332518
442,-11.713503,25.821388
443,-19.82588,9.789555
444,-34.006447,-20.7318
445,40.102383,-4.2153206
446,28.446873,7.836069
447,21.909002,11.849147
448,12.6075,6.575042
449,11.591535,4.7318196
450,29.47048,4.1047606
451,26.956697,8.687535
452,-23.271673,2.1525226
453,31.825253,1.5847831
454,39.459103,-6.4790735
455,-25.461227,-21.219057
456,16.179562,2.7877586
457,41.604664,-8.669425
458,28.39474,38.578743
459,-32.306538,-25.710413
460,-31.294056,-8.53409
461,-18.440413,5.4071417
462,-30.089937,-2.0154657
463,-36.15899,-12.031865
464,-12.124824,-11.043399
465,9.997261,0.009449592
466,-3.5621135,-15.707548
467,-28.912252,-19.978884
468,-25.550882,-14.20228
469,-12.753818,-19.320684
470,-24.019905,-13.350358
471,-15.405319,7.2884827
472,-9.992041,-22.961649
473,11.685406,17.725693
474,23.40361,-9.51589
475,42.177258,-6.2552857
476,-22.344059,11.08874
477,-22.7228,-11.425251
478,9.978163,11.904077
479,-21.202284,8.540342
480,-28.653784,4.4433594
481,-27.737083,-3.6620479
482,2.9141338,-25.174309
483,27.954292,6.540723
484,-16.62725,-10.861592
485,22.163578,42.522408
486,-24.20087,-6.4642577
487,25.884438,-12.515861
488,17.317373,38.160233
489,-17.320345,-28.104368
490,17.783522,-1.0818985
491,-17.315107,-27.983843
492,-31.76695,-22.599207
493,-3.7406032,-23.524872
494,-18.801048,6.80171
495,12.3668785,3.287426
496,-10.885447,-23.796833
497,-23.664286,11.4732895
498,-15.562599,-23.863062
499,20.784662,-12.852282
500,21.527359,-13.361843
501,-14.475853,-11.118447
502,-24.604185,-9.717288
503,-34.854244,3.1520116
504,-27.163296,-21.438692
505,-17.091263,0.6627344
506,31.196938,-0.61189663
507,30.3121,0.25608045
508,26.233063,37.509037
509,10.762348,15.521405
511,31.450155,5.616625
512,21.83775,-10.020981
513,5.870656,27.392107
514,-9.4908695,7.3464136
515,-25.11439,-7.8373256
516,22.189629,-32.573242
517,-18.752035,-26.966433
519,-22.954014,13.100908
520,-11.176916,25.592201
521,1.428106,-25.697681
522,35.00653,0.19441363
523,21.073774,11.126916
524,25.17526,41.804394
525,-28.450916,-1.3107324
526,-10.9113,-0.1513391
528,-29.19032,-14.299441
529,-38.27081,1.2107979
530,20.352331,43.64849
531,38.264393,-2.3365233
532,-24.268877,15.140374
534,-21.838194,15.191497
535,-33.920124,8.295629
536,-19.558607,-22.500212
537,-24.080822,-12.934036
538,11.063551,-4.4918036
539,21.222912,-8.941483
540,6.503213,10.3629265
541,43.941956,-5.2265882
542,-8.053136,-18.983992
543,21.564484,-7.4784327
544,-13.429065,-0.6401054
545,-34.258205,3.5898602
546,-21.740088,-6.082696
547,-25.059505,-12.794245
548,-7.765206,-15.070478
549,-22.575052,3.657181
550,11.086355,-8.033394
551,10.167853,5.132
552,33.61681,-0.72784513
553,11.563837,3.7431717
554,24.888998,-12.976413
555,-11.163755,2.1490283
556,21.136204,-11.754005
557,-20.699274,-4.9015365
559,-21.066757,5.883231
560,-28.932058,-24.878757
561,17.554564,2.8129518
562,7.578814,-6.0270395
563,11.177942,1.2085221
564,12.7728195,-5.9335327
565,23.466135,42.930954
566,-38.92723,0.56426585
567,20.299295,-9.890809
568,43.562042,-4.6031985
569,-13.097466,27.26012
570,0.73198724,-23.45017
571,-17.718508,-3.255398
572,-29.307968,-4.6075616
573,10.790343,-6.672556
574,-31.442392,3.9494894
575,-17.437696,-18.318493
576,-0.0016580978,-25.891485
577,-13.341396,-26.999859
578,10.28498,-9.163946
579,-3.5987315,-23.918278
580,20.12673,-13.532448
581,-23.702726,-25.504505
582,17.232853,-9.064503
583,-16.11967,-26.656534
584,27.130032,34.307205
585,7.4460406,20.533388
586,-18.542507,9.243785
587,-4.163709,-23.175303
588,-9.038852,-11.789923
589,26.642815,-14.913919
