ds,y
2019-01-25,1762744.24
2019-01-26,0.0
2019-01-27,0.0
2019-01-28,3943758.42
2019-01-29,2879224.0100000002
2019-01-30,2184294.71
2019-01-31,3083935.35
2019-02-01,1505938.98
2019-02-02,0.0
2019-02-03,0.0
2019-02-04,2021905.0
2019-02-05,1751980.2
2019-02-06,2183667.27
2019-02-07,3487431.35
2019-02-08,806581.45
2019-02-09,0.0
2019-02-10,0.0
2019-02-11,2258713.8
2019-02-12,1428986.02
2019-02-13,2055051.46
2019-02-14,5444523.72
2019-02-15,1378645.53
2019-02-16,0.0
2019-02-17,0.0
2019-02-18,2328650.53
2019-02-19,3676414.82
2019-02-20,1900044.92
2019-02-21,1548877.39
2019-02-22,1450351.81
2019-02-23,0.0
2019-02-24,0.0
2019-02-25,1621342.41
2019-02-26,1240350.08
2019-02-27,1930544.02
2019-02-28,2683205.23
2019-03-01,1843159.35
2019-03-02,0.0
2019-03-03,0.0
2019-03-04,3381694.9000000004
2019-03-05,1756464.77
2019-03-06,4149005.87
2019-03-07,514446.77
2019-03-08,0.0
2019-03-09,0.0
2019-03-10,0.0
2019-03-11,1302414.04
2019-03-12,1570418.72
2019-03-13,1657418.52
2019-03-14,3546344.7199999997
2019-03-15,2441283.91
2019-03-16,0.0
2019-03-17,0.0
2019-03-18,2582923.6
2019-03-19,2658531.08
2019-03-20,2361904.93
2019-03-21,1126308.78
2019-03-22,1859956.78
2019-03-23,0.0
2019-03-24,0.0
2019-03-25,2802281.83
2019-03-26,2019077.3800000001
2019-03-27,4008850.62
2019-03-28,1822740.36
2019-03-29,1354421.86
2019-03-30,0.0
2019-03-31,0.0
2019-04-01,3798648.78
2019-04-02,2530090.83
2019-04-03,2064000.41
2019-04-04,1682023.6199999999
2019-04-05,1675451.85
2019-04-06,0.0
2019-04-07,0.0
2019-04-08,5392592.47
2019-04-09,1575851.54
2019-04-10,3912078.77
2019-04-11,1391992.36
2019-04-12,2064726.28
2019-04-13,0.0
2019-04-14,0.0
2019-04-15,1901672.28
2019-04-16,2382844.84
2019-04-17,3441247.99
2019-04-18,4117508.53
2019-04-19,2113060.2800000003
2019-04-20,0.0
2019-04-21,0.0
2019-04-22,2222402.48
2019-04-23,1318561.78
2019-04-24,2150537.24
2019-04-25,4237667.22
2019-04-26,2100309.32
2019-04-27,0.0
2019-04-28,0.0
2019-04-29,2890251.71
2019-04-30,1243106.4
2019-05-01,0.0
2019-05-02,0.0
2019-05-03,0.0
2019-05-04,0.0
2019-05-05,0.0
2019-05-06,2155879.49
2019-05-07,1552818.74
2019-05-08,869663.2
2019-05-09,0.0
2019-05-10,0.0
2019-05-11,0.0
2019-05-12,0.0
2019-05-13,2584472.38
2019-05-14,4094818.69
2019-05-15,2408760.37
2019-05-16,2255828.38
2019-05-17,1154325.38
2019-05-18,0.0
2019-05-19,0.0
2019-05-20,2177873.7
2019-05-21,1474939.49
2019-05-22,1783259.64
2019-05-23,4014896.99
2019-05-24,1292035.67
2019-05-25,0.0
2019-05-26,0.0
2019-05-27,1282175.92
2019-05-28,2359543.01
2019-05-29,1563399.05
2019-05-30,2434269.97
2019-05-31,1310938.66
2019-06-01,0.0
2019-06-02,0.0
2019-06-03,1840260.46
2019-06-04,681259.62
2019-06-05,2203212.05
2019-06-06,1199230.7
2019-06-07,2974162.26
2019-06-08,0.0
2019-06-09,0.0
2019-06-10,1060343.82
2019-06-11,1254321.32
2019-06-12,0.0
2019-06-13,1750698.44
2019-06-14,1368336.82
2019-06-15,0.0
2019-06-16,0.0
2019-06-17,2427805.07
2019-06-18,1439345.3
2019-06-19,2429922.23
2019-06-20,3454578.51
2019-06-21,1245880.31
2019-06-22,0.0
2019-06-23,0.0
2019-06-24,1572515.93
2019-06-25,1035704.46
2019-06-26,1361265.22
2019-06-27,2314641.86
2019-06-28,1511599.44
2019-06-29,0.0
2019-06-30,0.0
2019-07-01,3148202.91
2019-07-02,1331758.6199999999
2019-07-03,2170844.47
2019-07-04,2163442.25
2019-07-05,618196.78
2019-07-06,0.0
2019-07-07,0.0
2019-07-08,1397022.71
2019-07-09,1482485.68
2019-07-10,2115891.46
2019-07-11,2648251.67
2019-07-12,1316466.94
2019-07-13,0.0
2019-07-14,0.0
2019-07-15,2166290.07
2019-07-16,886462.75
2019-07-17,1324970.27
2019-07-18,1948544.3800000001
2019-07-19,1697273.54
2019-07-20,0.0
2019-07-21,0.0
2019-07-22,1691602.73
2019-07-23,868495.51
2019-07-24,1821214.73
2019-07-25,4502563.53
2019-07-26,1416414.66
2019-07-27,0.0
2019-07-28,0.0
2019-07-29,2643818.16
2019-07-30,1051077.72
2019-07-31,530362.19
2019-08-01,402114.17
2019-08-02,706085.35
2019-08-03,0.0
2019-08-04,0.0
2019-08-05,2097845.82
2019-08-06,1881189.36
2019-08-07,1629776.8
2019-08-08,1523053.1199999999
2019-08-09,1206329.59
2019-08-10,0.0
2019-08-11,0.0
2019-08-12,1833876.19
2019-08-13,1544265.5
2019-08-14,1654930.41
2019-08-15,1933807.47
2019-08-16,838041.78
2019-08-17,0.0
2019-08-18,0.0
2019-08-19,2823838.36
2019-08-20,1469416.41
2019-08-21,2570630.7
2019-08-22,3649052.5
2019-08-23,846667.87
2019-08-24,0.0
2019-08-25,0.0
2019-08-26,2189567.52
2019-08-27,937964.47
2019-08-28,1882036.33
2019-08-29,2510953.76
2019-08-30,1385401.62
2019-08-31,0.0
2019-09-01,0.0
2019-09-02,1772553.2
2019-09-03,1461521.23
2019-09-04,3392935.65
2019-09-05,2756296.19
2019-09-06,1439622.58
2019-09-07,0.0
2019-09-08,0.0
2019-09-09,2072288.46
2019-09-10,1411468.4
2019-09-11,1622889.34
2019-09-12,2580300.17
2019-09-13,1467327.99
2019-09-14,0.0
2019-09-15,0.0
2019-09-16,1884753.25
2019-09-17,1013251.47
2019-09-18,2508037.35
2019-09-19,2051617.34
2019-09-20,2341001.38
2019-09-21,0.0
2019-09-22,0.0
2019-09-23,1633030.34
2019-09-24,1463699.12
2019-09-25,1981796.99
2019-09-26,2961106.15
2019-09-27,1385470.55
2019-09-28,0.0
2019-09-29,0.0
2019-09-30,1599927.47
2019-10-01,3097967.95
2019-10-02,2173474.42
2019-10-03,2410730.06
2019-10-04,845377.52
2019-10-05,0.0
2019-10-06,0.0
2019-10-07,2389080.27
2019-10-08,1378036.01
2019-10-09,2515272.68
2019-10-10,2249462.53
2019-10-11,1093264.11
2019-10-12,0.0
2019-10-13,0.0
2019-10-14,2043864.88
2019-10-15,2225709.79
2019-10-16,2385946.47
2019-10-17,2139177.66
2019-10-18,1278835.61
2019-10-19,0.0
2019-10-20,0.0
2019-10-21,1817806.0
2019-10-22,1027301.43
2019-10-23,2690156.75
2019-10-24,1677277.35
2019-10-25,1343169.06
2019-10-26,0.0
2019-10-27,0.0
2019-10-28,2579704.87
2019-10-29,1908023.6300000001
2019-10-30,2386458.88
2019-10-31,1774309.81
2019-11-01,938275.99
2019-11-02,0.0
2019-11-03,0.0
